pref,category,year_week,ma4,weekly_value,yr,wk
三重県,クラミジア肺炎,2025-21,0,0,2025,21
三重県,クラミジア肺炎,2025-22,0,0,2025,22
三重県,クラミジア肺炎,2025-23,0.0275,0.11,2025,23
三重県,クラミジア肺炎,2025-24,0.0275,0,2025,24
三重県,クラミジア肺炎,2025-25,0.0275,0,2025,25
三重県,クラミジア肺炎,2025-26,0.055,0.11,2025,26
三重県,クラミジア肺炎,2025-27,0.0275,0,2025,27
三重県,クラミジア肺炎,2025-28,0.0275,0,2025,28
三重県,クラミジア肺炎,2025-29,0.0275,0,2025,29
三重県,クラミジア肺炎,2025-30,0,0,2025,30
三重県,クラミジア肺炎,2025-31,0,0,2025,31
三重県,クラミジア肺炎,2025-32,0.0275,0.11,2025,32
三重県,クラミジア肺炎,2025-33,0.0275,0,2025,33
三重県,クラミジア肺炎,2025-34,0.0275,0,2025,34
三重県,クラミジア肺炎,2025-35,0.0275,0,2025,35
三重県,クラミジア肺炎,2025-36,0,0,2025,36
三重県,クラミジア肺炎,2025-37,0,0,2025,37
三重県,クラミジア肺炎,2025-38,0,0,2025,38
三重県,クラミジア肺炎,2025-39,0,0,2025,39
三重県,クラミジア肺炎,2025-40,0,0,2025,40
三重県,クラミジア肺炎,2025-41,0,0,2025,41
三重県,クラミジア肺炎,2025-42,0,0,2025,42
三重県,クラミジア肺炎,2025-43,0,0,2025,43
三重県,クラミジア肺炎,2025-44,0,0,2025,44
三重県,クラミジア肺炎,2025-45,0,0,2025,45
三重県,クラミジア肺炎,2025-46,0,0,2025,46
三重県,クラミジア肺炎,2025-47,0,0,2025,47
三重県,クラミジア肺炎,2025-48,0,0,2025,48
三重県,クラミジア肺炎,2025-49,0,0,2025,49
三重県,クラミジア肺炎,2025-50,0.0275,0.11,2025,50
三重県,クラミジア肺炎,2025-51,0.0275,0,2025,51
三重県,クラミジア肺炎,2025-52,0.0275,0,2025,52
三重県,ヘルパンギーナ,2025-01,0.01,0,2025,1
三重県,ヘルパンギーナ,2025-02,0.015,0.04,2025,2
三重県,ヘルパンギーナ,2025-03,0.01,0,2025,3
三重県,ヘルパンギーナ,2025-05,0.01,0,2025,5
三重県,ヘルパンギーナ,2025-06,0.01,0,2025,6
三重県,ヘルパンギーナ,2025-07,0.005,0.02,2025,7
三重県,ヘルパンギーナ,2025-08,0.005,0,2025,8
三重県,ヘルパンギーナ,2025-09,0.005,0,2025,9
三重県,ヘルパンギーナ,2025-10,0.005,0,2025,10
三重県,ヘルパンギーナ,2025-11,0,0,2025,11
三重県,ヘルパンギーナ,2025-12,0.005,0.02,2025,12
三重県,ヘルパンギーナ,2025-13,0.005,0,2025,13
三重県,ヘルパンギーナ,2025-14,0.01,0.02,2025,14
三重県,ヘルパンギーナ,2025-15,0.01,0,2025,15
三重県,ヘルパンギーナ,2025-16,0.01,0.02,2025,16
三重県,ヘルパンギーナ,2025-17,0.01,0,2025,17
三重県,ヘルパンギーナ,2025-18,0.005,0,2025,18
三重県,ヘルパンギーナ,2025-19,0.005,0,2025,19
三重県,ヘルパンギーナ,2025-20,0.005,0.02,2025,20
三重県,ヘルパンギーナ,2025-21,0.022500000000000003,0.07,2025,21
三重県,ヘルパンギーナ,2025-22,0.04,0.07,2025,22
三重県,ヘルパンギーナ,2025-23,0.0575,0.07,2025,23
三重県,ヘルパンギーナ,2025-24,0.115,0.25,2025,24
三重県,ヘルパンギーナ,2025-25,0.195,0.39,2025,25
三重県,ヘルパンギーナ,2025-26,0.34750000000000003,0.68,2025,26
三重県,ヘルパンギーナ,2025-27,0.66,1.32,2025,27
三重県,ヘルパンギーナ,2025-28,1.3124999999999998,2.86,2025,28
三重県,ヘルパンギーナ,2025-29,2.21,3.98,2025,29
三重県,ヘルパンギーナ,2025-30,3,3.84,2025,30
三重県,ヘルパンギーナ,2025-31,3.665,3.98,2025,31
三重県,ヘルパンギーナ,2025-32,3.8575,3.63,2025,32
三重県,ヘルパンギーナ,2025-33,3.2,1.35,2025,33
三重県,ヘルパンギーナ,2025-34,2.495,1.02,2025,34
三重県,ヘルパンギーナ,2025-35,1.755,1.02,2025,35
三重県,ヘルパンギーナ,2025-36,1.03,0.73,2025,36
三重県,ヘルパンギーナ,2025-37,0.88,0.75,2025,37
三重県,ヘルパンギーナ,2025-38,0.75,0.5,2025,38
三重県,ヘルパンギーナ,2025-39,0.6025,0.43,2025,39
三重県,ヘルパンギーナ,2025-40,0.55,0.52,2025,40
三重県,ヘルパンギーナ,2025-41,0.425,0.25,2025,41
三重県,ヘルパンギーナ,2025-42,0.3625,0.25,2025,42
三重県,ヘルパンギーナ,2025-43,0.2725,0.07,2025,43
三重県,ヘルパンギーナ,2025-44,0.16,0.07,2025,44
三重県,ヘルパンギーナ,2025-45,0.10250000000000001,0.02,2025,45
三重県,ヘルパンギーナ,2025-46,0.052500000000000005,0.05,2025,46
三重県,ヘルパンギーナ,2025-47,0.0575,0.09,2025,47
三重県,ヘルパンギーナ,2025-48,0.045,0.02,2025,48
三重県,ヘルパンギーナ,2025-49,0.04,0,2025,49
三重県,ヘルパンギーナ,2025-50,0.045,0.07,2025,50
三重県,ヘルパンギーナ,2025-51,0.022500000000000003,0,2025,51
三重県,ヘルパンギーナ,2025-52,0.0175,0,2025,52
三重県,マイコプラズマ肺炎,2025-01,0.6950000000000001,0.22,2025,1
三重県,マイコプラズマ肺炎,2025-02,0.585,0.67,2025,2
三重県,マイコプラズマ肺炎,2025-03,0.7775000000000001,1.33,2025,3
三重県,マイコプラズマ肺炎,2025-05,0.7500000000000001,0.78,2025,5
三重県,マイコプラズマ肺炎,2025-06,0.8049999999999999,0.44,2025,6
三重県,マイコプラズマ肺炎,2025-07,0.72,0.33,2025,7
三重県,マイコプラズマ肺炎,2025-08,0.5275000000000001,0.56,2025,8
三重県,マイコプラズマ肺炎,2025-09,0.47250000000000003,0.56,2025,9
三重県,マイコプラズマ肺炎,2025-10,0.5025000000000001,0.56,2025,10
三重県,マイコプラズマ肺炎,2025-11,0.53,0.44,2025,11
三重県,マイコプラズマ肺炎,2025-12,0.44500000000000006,0.22,2025,12
三重県,マイコプラズマ肺炎,2025-13,0.41500000000000004,0.44,2025,13
三重県,マイコプラズマ肺炎,2025-14,0.33,0.22,2025,14
三重県,マイコプラズマ肺炎,2025-15,0.2475,0.11,2025,15
三重県,マイコプラズマ肺炎,2025-16,0.2475,0.22,2025,16
三重県,マイコプラズマ肺炎,2025-17,0.1925,0.22,2025,17
三重県,マイコプラズマ肺炎,2025-18,0.30500000000000005,0.67,2025,18
三重県,マイコプラズマ肺炎,2025-19,0.305,0.11,2025,19
三重県,マイコプラズマ肺炎,2025-20,0.445,0.78,2025,20
三重県,マイコプラズマ肺炎,2025-21,0.64,1,2025,21
三重県,マイコプラズマ肺炎,2025-22,0.555,0.33,2025,22
三重県,マイコプラズマ肺炎,2025-23,0.7225000000000001,0.78,2025,23
三重県,マイコプラズマ肺炎,2025-24,0.6100000000000001,0.33,2025,24
三重県,マイコプラズマ肺炎,2025-25,0.47000000000000003,0.44,2025,25
三重県,マイコプラズマ肺炎,2025-26,0.555,0.67,2025,26
三重県,マイコプラズマ肺炎,2025-27,0.555,0.78,2025,27
三重県,マイコプラズマ肺炎,2025-28,0.75,1.11,2025,28
三重県,マイコプラズマ肺炎,2025-29,0.75,0.44,2025,29
三重県,マイコプラズマ肺炎,2025-30,0.7225000000000001,0.56,2025,30
三重県,マイコプラズマ肺炎,2025-31,0.5825,0.22,2025,31
三重県,マイコプラズマ肺炎,2025-32,0.445,0.56,2025,32
三重県,マイコプラズマ肺炎,2025-33,0.53,0.78,2025,33
三重県,マイコプラズマ肺炎,2025-34,0.64,1,2025,34
三重県,マイコプラズマ肺炎,2025-35,0.6125,0.11,2025,35
三重県,マイコプラズマ肺炎,2025-36,0.64,0.67,2025,36
三重県,マイコプラズマ肺炎,2025-37,0.585,0.56,2025,37
三重県,マイコプラズマ肺炎,2025-38,0.6675,1.33,2025,38
三重県,マイコプラズマ肺炎,2025-39,0.89,1,2025,39
三重県,マイコプラズマ肺炎,2025-40,0.8325,0.44,2025,40
三重県,マイコプラズマ肺炎,2025-41,0.9425,1,2025,41
三重県,マイコプラズマ肺炎,2025-42,0.805,0.78,2025,42
三重県,マイコプラズマ肺炎,2025-43,0.805,1,2025,43
三重県,マイコプラズマ肺炎,2025-44,0.835,0.56,2025,44
三重県,マイコプラズマ肺炎,2025-45,0.7250000000000001,0.56,2025,45
三重県,マイコプラズマ肺炎,2025-46,0.6975,0.67,2025,46
三重県,マイコプラズマ肺炎,2025-47,0.7250000000000001,1.11,2025,47
三重県,マイコプラズマ肺炎,2025-48,0.9175000000000001,1.33,2025,48
